key,t1
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
montyhall,true
