key,t1,t2,t3,t4
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,7.4999995,true
secretenv3,-1.0,255,1.25,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.25,true
secretenv3,-1.0,255,5.0,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,7.4999995,true
secretenv3,-1.0,255,1.25,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.8595041,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.7045455,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.5625,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.5625,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.5625,true
secretenv3,0.0,255,7.4999995,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,6.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.25,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,1.3636364,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,37.499996,true
secretenv3,0.0,255,5.0,true
secretenv3,0.0,255,1.25,true
