key,t1
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,false
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,false
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,false
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,false
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,false
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,false
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,false
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
gridworld,true
