event_type,total_score,epsilon,average_loss,mean_td_error,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time
event_type,total_score,epsilon,average_loss,mean_td_error,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time
LoggingSummary,131.0,0.9501005,0.9459035,-0.26225874,2024-11-21T11:30:08.761284674+01:00,0.262,4.096,276,1.0,0.005463877
LoggingSummary,199.0,0.900101,0.95463544,-0.34152013,2024-11-21T11:30:12.160652989+01:00,0.398,4.132,321,1.0,0.006794614
LoggingSummary,174.0,0.8501015,0.9802948,-0.38717774,2024-11-21T11:30:15.305778676+01:00,0.348,4.184,305,1.0,0.0062867766
LoggingSummary,181.0,0.800102,0.97032106,-0.4350576,2024-11-21T11:30:20.800880415+01:00,0.362,4.152,314,1.0,0.010983588
LoggingSummary,211.0,0.7501025,0.9742858,-0.4422149,2024-11-21T11:30:24.418084627+01:00,0.422,4.16,326,1.0,0.0072305477
LoggingSummary,242.0,0.700103,0.97473466,-0.4784417,2024-11-21T11:30:27.940231273+01:00,0.484,4.098,345,1.0,0.0070405616
LoggingSummary,204.0,0.6501035,0.9818401,-0.49827608,2024-11-21T11:30:30.968518538+01:00,0.408,4.154,323,1.0,0.0060534086
LoggingSummary,248.0,0.60010403,0.9630753,-0.51744556,2024-11-21T11:30:34.597657449+01:00,0.496,4.064,344,1.0,0.0072541977
LoggingSummary,224.0,0.55010444,0.97924334,-0.54285586,2024-11-21T11:30:38.025465059+01:00,0.448,4.084,336,1.0,0.006851817
LoggingSummary,185.0,0.500105,0.9589308,-0.55096936,2024-11-21T11:30:41.090219746+01:00,0.37,4.014,321,1.0,0.00612636
LoggingSummary,251.0,0.45010552,0.98141426,-0.5680637,2024-11-21T11:30:44.330824913+01:00,0.502,4.09,343,1.0,0.0064780083
LoggingSummary,246.0,0.40010598,0.98688525,-0.59439695,2024-11-21T11:30:47.342114162+01:00,0.492,4.08,343,1.0,0.0060195886
LoggingSummary,251.0,0.35010648,0.97862846,-0.60154027,2024-11-21T11:30:50.315983341+01:00,0.502,4.012,355,1.0,0.005944686
LoggingSummary,239.0,0.30010703,0.9907737,-0.62308264,2024-11-21T11:30:53.523108838+01:00,0.478,4.044,346,1.0,0.0064109843
LoggingSummary,255.0,0.25010753,0.98652196,-0.63505334,2024-11-21T11:30:56.824415602+01:00,0.51,3.97,360,1.0,0.006567122
LoggingSummary,215.0,0.200108,0.97710603,-0.6301455,2024-11-21T11:30:59.922869411+01:00,0.43,3.988,338,1.0,0.006166283
LoggingSummary,202.0,0.15010849,0.98317546,-0.6655684,2024-11-21T11:31:03.147769502+01:00,0.404,3.964,335,1.0,0.0064461855
LoggingSummary,254.0,0.10010898,0.98567086,-0.67565376,2024-11-21T11:31:06.727519114+01:00,0.508,3.988,361,1.0,0.0071536982
LoggingSummary,241.0,0.050109528,0.9725369,-0.67013514,2024-11-21T11:31:09.958403362+01:00,0.482,3.866,359,1.0,0.0064568296
LoggingSummary,224.0,0.00011001559,0.9654551,-0.6803659,2024-11-21T11:31:13.278013327+01:00,0.448,3.826,353,1.0,0.006634069
