event_type,total_score,epsilon,average_loss,mean_td_error,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time
LoggingSummary,56.0,0.3201068,1.0433437,-0.36071888,2024-11-16T18:16:38.426318999+01:00,0.28,4.185,111,1.0,0.00556889
LoggingSummary,40.0,0.30010703,1.048225,-0.35076106,2024-11-16T18:16:39.579315235+01:00,0.2,4.235,105,1.0,0.0057617216
LoggingSummary,58.0,0.2801072,1.0555869,-0.36191222,2024-11-16T18:16:40.820022374+01:00,0.29,4.175,116,1.0,0.006200349
LoggingSummary,52.0,0.2601074,1.0514408,-0.3837042,2024-11-16T18:16:42.035961412+01:00,0.26,4.26,111,1.0,0.0060765054
LoggingSummary,82.0,0.24010763,1.0575353,-0.38824055,2024-11-16T18:16:43.227650449+01:00,0.41,4.265,131,1.0,0.005955177
LoggingSummary,60.0,0.22010778,1.0278926,-0.3919306,2024-11-16T18:16:44.400608186+01:00,0.3,4.125,117,1.0,0.005861834
LoggingSummary,61.0,0.200108,1.0605837,-0.40409687,2024-11-16T18:16:45.600845520+01:00,0.305,4.225,112,1.0,0.0059981965
LoggingSummary,71.0,0.18010822,1.0622475,-0.40036866,2024-11-16T18:16:46.940298155+01:00,0.355,4.27,118,1.0,0.006692739
LoggingSummary,76.0,0.16010839,1.0669574,-0.41502568,2024-11-16T18:16:48.145409386+01:00,0.38,4.27,124,1.0,0.0060223453
LoggingSummary,54.0,0.1401086,1.0324955,-0.38895807,2024-11-16T18:16:49.346332317+01:00,0.27,4.135,111,1.0,0.0060001677
LoggingSummary,74.0,0.12010882,1.0285938,-0.39596,2024-11-16T18:16:50.528076248+01:00,0.37,4.16,123,1.0,0.0059041684
LoggingSummary,78.0,0.10010898,1.0406367,-0.42819527,2024-11-16T18:16:51.828258281+01:00,0.39,4.23,125,1.0,0.006496178
LoggingSummary,66.0,0.0801092,1.0377693,-0.42502263,2024-11-16T18:16:53.075956610+01:00,0.33,4.155,120,1.0,0.006233753
LoggingSummary,57.0,0.060109418,1.0070753,-0.4161145,2024-11-16T18:16:54.289931118+01:00,0.285,4.07,118,1.0,0.0060652727
LoggingSummary,77.0,0.04010958,1.0397639,-0.44640392,2024-11-16T18:16:55.566418126+01:00,0.385,4.205,127,1.0,0.00637755
LoggingSummary,65.0,0.020109797,1.0098723,-0.45140162,2024-11-16T18:16:56.950945335+01:00,0.325,4.075,116,1.0,0.0069171526
LoggingSummary,68.0,0.00011001559,1.0135493,-0.43950862,2024-11-16T18:16:58.242681344+01:00,0.34,4.095,125,1.0,0.006453889
